Date,Description,Category,Amount,Split,Tags
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/15/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-5.0,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.15,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
